---
season: 2021-22
division: d1
gender: women
duals: 4807
description: schedule/scoreboard from team websites
---
source	id	date	time	timeZone	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	tournament	timeDisplay	location	facility	tv	radio	links
  MER	  9537	2022-01-30	 2:30pm	   	W	  	ABRA 	at	  	MER  	 	   	 	 				2:30 P.M.	Macon, GA	[LeRoy Peddy Tennis Center](/facilities/?id=8)			
 PEAY	 10615	2022-01-30	 2:45pm	   	W	  	MTSU 	at	  	PEAY 	 	   	 	 				2:45 PM	Evansville, IN				[History](/sports/womens-tennis/opponent-history/middle-tennessee/36)
IUPUI	 15237	2022-01-30	 4:00pm	   	W	  	ILST 	at	  	IUPUI	 	   	 	 				4:00 P.M.	Indianapolis, IN	[West Indy Racquet Club](/facilities/?id=5)			[History](/sports/womens-tennis/opponent-history/illinois-state-university/132)
 ILST	 18089	2022-01-30	 4:00pm	   	W	  	ILST 	at	  	IUPUI	 	   	 	 				4 p.m.	Indianapolis, IN				
 MORG	  5681	2022-01-30	 4:00pm	   	W	  	MORG 	at	  	NAVY 	 	   	 	 				4 p.m.	Annapolis, MD				[History](/sports/womens-tennis/opponent-history/united-states-naval-academy/133)
 QUIN	 19839	2022-01-30	 6:00pm	   	W	  	URI  	at	  	QUIN 	 	   	 	 				6:00 PM	North Haven, CT	[North Haven Health and Racquet Club](/facilities/?id=31)			[History](/sports/womens-tennis/opponent-history/university-of-rhode-island/117)
  WKU	 11747	2022-01-30	 6:00pm	   	W	  	UTM  	at	  	WKU  	 	   	 	 				6 PM	Bowling Green, KY				
 SDAK	  7743	2022-01-31	10:00am	   	W	  	SDAK 	vs	  	WICH 	 	   	N	 				10 a.m.	Sioux Falls	Huether			
 WICH	 14981	2022-01-31	10:00am	   	W	  	WICH 	at	  	SDAK 	 	   	 	 				10:00 AM	Sioux Falls, SD	Huether Family Match Pointe			[History](/sports/womens-tennis/opponent-history/university-of-south-dakota/164)
 COPP	  8694	2022-02-01	       	   	W	  	COPP 	at	  	MSM  	 	   	 	 					Emmitsburg, MD				[History](/sports/womens-tennis/opponent-history/mount-st-marys-md-/51)
GWEBB	  7073	2022-02-01	 2:00pm	   	W	  	LIME 	at	  	GWEBB	 	   	 	 				2:00 PM	BOILING SPRINGS, NC	[Webb Tennis Complex](/facilities/?id=7)			
  TCU	 17474	2022-02-01	 2:30pm	   	W	  	HOU  	at	  	TCU  	 	   	 	 				2:30 PM	Fort Worth, TX				[History](/sports/womens-tennis/opponent-history/university-of-houston/28)
  BAY	 27496	2022-02-02	    TBA	   	W	11	BAY  	at	 1	TEX  	 	   	 	 					Austin, TX	[Texas Tennis Center](https://texassports.com/sports/2018/1/23/texas-tennis-center.aspx)			
  TEX	 14418	2022-02-02	 2:00pm	CT 	W	11	BAY  	at	 1	TEX  	 	   	 	 				2 p.m. CT	Austin, TX	[The Edgar O. and Melanie A. Weller Tennis Center](/sports/2013/7/25/facilities_0725135053.aspx?id=232)			
FLA&M	  3665	2022-02-02	 5:00pm	ET 	W	  	FLA&M	at	15	FSU  	 	   	 	 				2:30 PM & 5 PM ET	Tallahassee, FL				[History](/sports/womens-tennis/opponent-history/florida-state-university/2)
IWORD	  5718	2022-02-02	 9:00am	   	W	  	IWORD	at	  	PVA&M	 	   	 	 				9 a.m.	Prairie View, TX				[History](/sports/womens-tennis/opponent-history/prairie-view-am-university/72)
PVA&M	  6286	2022-02-02	10:00am	   	W	  	PVA&M	  	  	IWORD	 	   	 	 				10 A.M.	Prairie View, TX	PVAMU Tennis Courts			[History](/sports/womens-tennis/opponent-history/university-of-the-incarnate-word/109)
  AFA	 14509	2022-02-02	12:00pm	MT 	W	  	AFA  	at	  	COLO 	 	   	 	 				12:00 pm MT	Boulder, CO				
 COLO	 15806	2022-02-02	12:00pm	MT 	W	  	AFA  	at	  	COLO 	 	   	 	 				12:00 PM MT	Boulder, CO				[History](/sports/womens-tennis/opponent-history/air-force/5)
  UAB	 20201	2022-02-02	 1:30pm	   	W	  	UAB  	at	  	SAM  	 	   	 	 				1:30 PM	Courington Tennis Pavilion				[History](/sports/womens-tennis/opponent-history/samford-university/219)
  SAM	 12099	2022-02-02	 1:30pm	   	W	  	UAB  	at	  	SAM  	 	   	 	 				1:30 PM	Birmingham, AL				[History](/sports/womens-tennis/opponent-history/university-of-alabama-at-birmingham/186)
PVA&M	  6292	2022-02-02	 2:00pm	   	W	  	PVA&M	  	  	TX ST	 	   	 	 				2 p.m.	Prairie View, TX	PVAMU Tennis Courts			[History](/sports/womens-tennis/opponent-history/texas-state/112)
 FRES	 16957	2022-02-02	 2:00pm	PT 	W	  	SMARY	at	  	FRES 	 	   	 	 				2 p.m. PT	Fresno, CA	[Spalding G. Wathen Tennis Center](/facilities/?id=8)			
 SMCC	 10351	2022-02-02	 2:00pm	   	W	  	SMCC 	at	  	FRES 	 	   	 	 				2:00 PM	Fresno, CA				[History](/sports/womens-tennis/opponent-history/fresno-state/76)
TX ST	  8162	2022-02-02	 2:00pm	   	W	  	TX ST	at	  	PVA&M	 	   	 	 				2:00 PM	Prairie View, TX				[History](/sports/womens-tennis/opponent-history/prairie-view-am-university/19)
   LT	 10652	2022-02-02	 2:00pm	   	W	  	ULM  	at	  	LT   	 	   	 	 				2 p.m.	Ruston, LA	[LA Tech Tennis Complex](/facilities/?id=11)			
  ULM	 14300	2022-02-02	 2:00pm	   	W	  	ULM  	at	  	LT   	 	   	 	 				2 P.M.	Ruston, LA				
 BUTL	 12442	2022-02-02	 5:00pm	   	W	  	INDI 	at	  	BUTL 	 	   	 	 				5 PM	Indianapolis, IN				[History](/sports/womens-tennis/opponent-history/university-of-indianapolis/183)
IUPUI	 15240	2022-02-02	 5:00pm	   	W	  	IUPUI	at	  	INDI 	 	   	 	 				5:00 P.M.	Indianapolis, IN				[History](/sports/womens-tennis/opponent-history/university-of-indianapolis/76)
   SF	  7139	2022-02-03	 1:00pm	   	W	  	SF   	at	17	STAN 	 	   	 	 				1:00 p.m.	Stanford, CA				[History](/sports/womens-tennis/opponent-history/stanford-university/6)
 STAN	 37203	2022-02-03	 2:00pm	PT 	W	  	SF   	at	17	STAN 	 	   	 	 				2:00 PM PT	Stanford, CA		Stanford Tennis Live Stream		[Watch](http://streamingtennis.com/Cardinal/?DB_OEM_ID=30600) [History](/sports/womens-tennis/opponent-history/university-of-san-francisco/3154)
  ODU	  9308	2022-02-03	 5:00pm	   	W	  	ODU  	at	20	FLA  	 	   	 	 				5:00 PM	Gainesville, FL				[History](/sports/womens-tennis/opponent-history/university-of-florida/70)
  FLA	 24688	2022-02-03	 5:00pm	   	W	  	ODU  	at	20	FLA  	 	   	 	 				5 P.M.	Gainesville, FL	[Alfred A. Ring Tennis Complex](/facilities/?id=6)			
  UCR	 13340	2022-02-03	 1:30pm	   	W	  	PAC  	at	  	UCR  	 	   	 	 				1:30 p.m.	Riverside, CA	[SRC Tennis Courts](/facilities/?id=34)			[History](/sports/womens-tennis/opponent-history/university-of-the-pacific/6)
  PAC	  8047	2022-02-03	 1:30pm	   	W	  	PAC  	at	  	UCR  	 	   	 	 				1:30 p.m.	Riverside, CA				[History](/sports/womens-tennis/opponent-history/university-of-california-riverside/171)
 PRST	  4376	2022-02-03	 2:00pm	   	W	  	PRST 	at	  	SDCHR	 	   	 	 				2 P.M.	Ramona, CA				
  USM	  9408	2022-02-03	 2:30pm	   	W	  	UNO  	at	  	USM  	 	   	 	 				2:30 P.M.	Hattiesburg, MS				[History](/sports/womens-tennis/opponent-history/new-orleans/182)
  UNO	 11431	2022-02-03	 2:30pm	   	W	  	UNO  	at	  	USM  	 	   	 	 				2:30 p.m.	Hattiesburg, MS				[History](/sports/womens-tennis/opponent-history/university-of-southern-mississippi/62)
  RAD	 12214	2022-02-03	 3:00pm	   	W	  	MONTR	at	  	RAD  	 	   	 	 				3:00 PM	Radford, VA	[Radford Tennis Complex](/facilities/?id=116)			[History](/sports/womens-tennis/opponent-history/montreat-college-n-c-/486)
 OKST	 13487	2022-02-03	 6:00pm	   	W	  	MIZZ 	at	  	OKST 	 	   	 	 				6 p.m.	Stillwater, OK	[Greenwood Tennis Center](https://okstate.com/sports/2015/3/17/GEN_2014010160.aspx)			[History](/sports/womens-tennis/opponent-history/missouri/50)
 MIZZ	 23632	2022-02-03	 6:00pm	   	W	  	MIZZ 	at	  	OKST 	 	   	 	 				6 p.m.	Stillwater, OK				
 UCLA	 30675	2022-02-04	 1:30pm	PT 	W	  	UCSB 	at	 5	UCLA 	 	   	 	 				1:30 PM PT	Los Angeles, CA				
  UCF	 17570	2022-02-04	12:00pm	   	W	12	UCF  	at	 7	UVA  	 	   	 	 				12:00 PM	Charlottesville, VA				[History](/sports/womens-tennis/opponent-history/university-of-virginia/305)
 NCST	 22053	2022-02-04	12:00pm	   	W	 8	NCST 	at	22	TENN 	 	   	 	 				12 PM	Knoxville, Tenn.				[History](/sports/womens-tennis/opponent-history/university-of-tennessee/259)
 TENN	 22470	2022-02-04	12:00pm	   	W	 8	NCST 	at	22	TENN 	 	   	 	 				12 PM	Knoxville, TN				
  AUB	 20269	2022-02-04	 3:00pm	   	W	12	GT   	at	25	AUB  	 	   	 	 				3:00 PM	Auburn, AL	[Yarbrough Tennis Center](/facilities/?id=18)			[History](/sports/womens-tennis/opponent-history/georgia-tech/68)
  FIU	 10237	2022-02-04	    TBA	   	W	  	FIU  	vs	  	LIU  	 	   	N	 					New York, NY				[History](/sports/womens-tennis/opponent-history/long-island/344)
 JOES	  8188	2022-02-04	       	   	W	  	JOES 	at	  	PENN 	 	   	 	 					Philadelphia, PA				[History](/sports/womens-tennis/opponent-history/university-of-pennsylvania/310)
 JVST	  6504	2022-02-04	    TBA	   	W	  	JVST 	at	  	JKST 	 	   	 	 					Jackson, MS				
LAMAR	 21332	2022-02-04	    TBA	   	W	  	ORU  	at	  	LAMAR	 	   	 	 					Beaumont, TX	[Thompson Family Tennis Center](/facilities/?id=6)			[History](/sports/womens-tennis/opponent-history/oral-roberts-university/64)
SE MO	 17121	2022-02-04	    TBA	   	W	  	SE MO	at	  	ARST 	 	   	 	 					State University, AR				[History](/sports/womens-tennis/opponent-history/arkansas-state-university/16)
 ARST	  4720	2022-02-04	       	   	W	  	SE MO	at	  	ARST 	 	   	 	 					Jonesboro, AR	RidgePointe CC			
  TEM	 10855	2022-02-04	       	   	W	  	SFC  	at	  	TEM  	 	   	 	 					Philadelphia, PA				
  WIS	 13920	2022-02-04	    TBA	   	W	  	WIS  	at	  	DEN  	 	   	 	 					Denver, CO				
 BELL	  6793	2022-02-04	 9:00am	CT 	W	  	BELL 	at	  	NIU  	 	   	 	 				10 AM (9 AM CT)	DeKalb, IL				
  NIU	 15464	2022-02-04	 9:00am	CT 	W	  	BELL 	at	  	NIU  	 	   	 	 				9 a.m. CT	DeKalb, IL				[History](/sports/womens-tennis/opponent-history/bellarmine-university/400)
  UTA	 17161	2022-02-04	10:00am	   	W	  	CAM  	at	  	UTA  	 	   	 	 				10 AM	Arlington, TX	UTA Tennis Center			[History](/sports/womens-tennis/opponent-history/cameron-university/7)
  UCI	 10965	2022-02-04	10:00am	   	W	  	GCU  	at	  	UCI  	 	   	 	 				10:00 AM	Irvine, CA				
  DUQ	 16453	2022-02-04	10:00am	   	W	  	MSM  	at	  	DUQ  	 	   	 	 				10 AM	Pittsburgh, PA	[Alpha Tennis And Fitness of Pittsburgh](http://alphatennis.net/)			[History](/sports/womens-tennis/opponent-history/mount-st-marys-md-/71)
 PRST	  4377	2022-02-04	10:00am	   	W	  	PRST 	at	  	PLN  	 	   	 	 				10 A.M.	San Diego, CA				
WEBER	  7492	2022-02-04	10:00am	   	W	  	WEBER	at	  	UNLV 	 	   	 	 				10:00 AM	Las Vegas, NV				
 UNLV	 15111	2022-02-04	10:00am	PT 	W	  	WEBER	at	  	UNLV 	 	   	 	 				10 am PT	Las Vegas	Fertitta Tennis Complex			
  TOL	 21303	2022-02-04	10:00am	   	W	  	WSU  	at	  	TOL  	 	   	 	 				10:00 a.m.	Toledo, OH	[Twos Athletic Club](https://twosathleticclub.com/)			
  UIC	 16940	2022-02-04	10:30am	   	W	  	CIN  	at	  	UIC  	 	   	 	 				10:30 a.m.	Chicago	[XS Tennis Village](/facilities/?id=25)			[History](/sports/womens-tennis/opponent-history/university-of-cincinnati/130)
  CIN	  7983	2022-02-04	11:00am	   	W	  	CIN  	at	  	UIC  	 	   	 	 				11 A.M.	Chicago, IL				[History](/sports/womens-tennis/opponent-history/uic/180)
 UTEP	 10601	2022-02-04	11:00am	   	W	  	UTEP 	at	  	UNLV 	 	   	 	 				11 A.M.	Las Vegas, NV				[History](/sports/womens-tennis/opponent-history/unlv/108)
 WASH	 20380	2022-02-04	11:00am	PT 	W	  	WASH 	at	  	RICE 	 	   	 	 				11:00 AM PT	Houston, TX				
 PEAY	 10616	2022-02-04	11:30am	   	W	  	CUMBD	at	  	PEAY 	 	   	 	 				11:30 AM	Evansville, IN				[History](/sports/womens-tennis/opponent-history/cumberland-university-tenn-/1214)
 CCAR	 21455	2022-02-04	12:00pm	ET 	W	  	CCAR 	at	  	CLEM 	 	   	 	 			2022 Spring Schedule	Noon ET	Clemson, SC				
  RUT	 12873	2022-02-04	12:00pm	   	W	  	DREX 	at	  	RUT  	 	   	 	 			2022 Spring Schedule	12:00 PM	East Brunswick, NJ	[East Brunswick Racquet Club](http://ebrctennis.com/)			
 DREX	  9057	2022-02-04	12:00pm	   	W	  	DREX 	at	  	RUT  	 	   	 	 				12 p.m.	Piscataway, NJ				
  LIU	  1985	2022-02-04	12:00pm	   	W	  	FIU  	at	  	LIU  	 	   	 	 				12:00 PM	Syosset, NY	[SPORTIME Bethpage](https://www.sportimeny.com/Bethpage-Multi-Sport)			
  EWU	  4975	2022-02-04	12:00pm	   	W	  	SDAK 	at	  	EWU  	 	   	 	 			2022 Spring Schedule	12 p.m.	Cheney, WA				[History](/sports/womens-tennis/opponent-history/university-of-south-dakota/20)
  FAU	 19708	2022-02-04	12:00pm	   	W	  	TNST 	at	  	FAU  	 	   	 	 				Noon	Boca Raton, FL				[History](/sports/womens-tennis/opponent-history/tennessee-state-university/289)
  DEN	 12259	2022-02-04	12:00pm	MT 	W	  	WIS  	at	  	DEN  	 	   	 	 				12 p.m. MT	Denver, CO				[History](/sports/womens-tennis/opponent-history/university-of-wisconsin/451)
 BELL	  6794	2022-02-04	 1:00pm	CT 	W	  	BELL 	vs	  	W ILL	 	   	N	 				2 PM (1 PM CT)	DeKalb, IL				
W ILL	 12773	2022-02-04	 1:00pm	   	W	  	BELL 	vs	  	W ILL	 	   	N	 			[Northern Illinois Invitational](https://niuhuskies.com/index.aspx)	1 P.M.	DeKalb, IL				
EMICH	 13182	2022-02-04	 1:00pm	   	W	  	CLEV 	at	  	EMICH	 	   	 	 				1 p.m.	Ypsilanti, MI	[The Chippewa Club](/facilities/?id=38)			[History](/sports/womens-tennis/opponent-history/cleveland-state-university/12)
 ALST	  9444	2022-02-04	 1:00pm	   	W	  	COL  	at	  	ALST 	 	   	 	 				1:00 pm	Montgomery, AL				[History](/sports/womens-tennis/opponent-history/columbus-state-university/272)
 COLO	 15755	2022-02-04	 1:00pm	MT 	W	  	HOU  	at	  	COLO 	 	   	 	 				1:00 PM MT	Boulder, CO				[History](/sports/womens-tennis/opponent-history/university-of-houston/145)
 MTSU	  8770	2022-02-04	 1:00pm	   	W	  	IUPUI	at	  	MTSU 	 	   	 	 				1:00 p.m.		[Adams Tennis Complex](https://goblueraiders.com/sports/2015/8/13/MTEN_0813152132.aspx)			[History](/sports/womens-tennis/opponent-history/iupui/271)
IUPUI	 15241	2022-02-04	 1:00pm	   	W	  	IUPUI	at	  	MTSU 	 	   	 	 				1:00 P.M.	Murfreesboro, TN				[History](/sports/womens-tennis/opponent-history/middle-tennessee/217)
  ISU	 14685	2022-02-04	 1:00pm	   	W	  	NEB  	at	  	ISU  	 	   	 	 				1:00 PM	Urbandale, IA				[Live Stats](https://stats.statbroadcast.com/statmonitr/?id=382651)
 UCSD	  8810	2022-02-04	 1:00pm	   	W	  	PAC  	at	  	UCSD 	 	   	 	 				1:00 PM	La Jolla, CA	[Northview Tennis Courts](/facilities/?id=7)			
  PAC	  8048	2022-02-04	 1:00pm	   	W	  	PAC  	at	  	UCSD 	 	   	 	 				1:00 p.m.	La Jolla, CA				[History](/sports/womens-tennis/opponent-history/uc-san-diego/81)
 RICE	 25164	2022-02-04	 1:00pm	   	W	  	WASH 	at	  	RICE 	 	   	 	 				1 PM	Houston, TX	[George R. Brown Tennis Center](/facilities/?id=7)			[History](/sports/womens-tennis/opponent-history/university-of-washington/397)
  USF	 12245	2022-02-04	 1:30pm	   	W	  	UNF  	at	  	USF  	 	   	 	 				1:30 p.m.	Tampa, FL	USF Varsity Tennis Courts			[History](/sports/womens-tennis/opponent-history/university-of-north-florida/132)
  UNF	 18079	2022-02-04	 1:30pm	   	W	  	UNF  	at	  	USF  	 	   	 	 				1:30 p.m.	Tampa, FL				[History](/sports/womens-tennis/opponent-history/university-of-south-florida/20)
  KSU	 16839	2022-02-04	 2:00pm	   	W	  	ARK  	at	  	KSU  	 	   	 	 			2022 Spring Schedule	2 PM	Manhattan, KS				[History](/sports/womens-tennis/opponent-history/university-of-arkansas/79)
  TOL	 21302	2022-02-04	 2:00pm	   	W	  	FIND 	at	  	TOL  	 	   	 	 				2:00 p.m.	Toledo, OH	[Twos Athletic Club](https://twosathleticclub.com/)			
 JKST	  2803	2022-02-04	 2:00pm	CT 	W	  	JVST 	at	  	JKST 	 	   	 	 				2:00 P.M. CT	Jackson, MS	[JSU Tennis Center](/facilities/?id=6)			
   LU	  7953	2022-02-04	 2:00pm	   	W	  	LU   	at	  	LIB  	 	   	 	 				2 p.m.	Lynchburg, VA				[History](/sports/womens-tennis/opponent-history/liberty-university/29)
  ORU	  7388	2022-02-04	 2:00pm	   	W	  	ORU  	at	  	LAMAR	 	   	 	 				2 p.m.	Beaumont, TX				[History](/sports/womens-tennis/opponent-history/lamar-university/92)
 SDAK	  7744	2022-02-04	 2:00pm	   	W	  	SDAK 	at	  	EWU  	 	   	 	 				2 p.m.	Cheney, WA				
  UTA	 17162	2022-02-04	 2:00pm	   	W	  	SEOSU	at	  	UTA  	 	   	 	 				2 PM	Arlington, TX	UTA Tennis Center			[History](/sports/womens-tennis/opponent-history/southeastern-oklahoma-state-university/1359)
 MINN	 19401	2022-02-04	 2:30pm	   	W	  	UND  	at	  	MINN 	 	   	 	 				2:30 PM		[Baseline Tennis Center](http://www.baselinetc.com/)			
  UND	 12305	2022-02-04	 2:30pm	   	W	  	UND  	at	  	MINN 	 	   	 	 				2:30 p.m.	Minneapolis, Minn.				
  TCU	 17475	2022-02-04	 2:30pm	   	W	  	UTSA 	at	  	TCU  	 	   	 	 				2:30 PM	Fort Worth, TX				[History](/sports/womens-tennis/opponent-history/utsa/65)
 UTSA	  8910	2022-02-04	 2:30pm	   	W	  	UTSA 	at	  	TCU  	 	   	 	 				2:30 p.m.	Fort Worth, TX				[History](/sports/womens-tennis/opponent-history/texas-christian-university/148)
BOISE	 18711	2022-02-04	 3:00pm	MT 	W	  	BOISE	vs	  	DIX  	 	   	N	 				3 p.m. MT	Provo, UT				
  WCU	 14145	2022-02-04	 3:00pm	   	W	  	TUSC 	at	  	WCU  	 	   	 	 				3:00 PM	Cullowhee, NC				[History](/sports/womens-tennis/opponent-history/tusculum-university/99)
  LOU	 23269	2022-02-04	 4:00pm	   	W	  	BALL 	at	  	LOU  	 	   	 	 				4:00 p.m.	LOUISVILLE, KY	[Bass-Rudd Tennis Center](/facilities/?id=2)			[History](/sports/womens-tennis/opponent-history/ball-state-university/29)
 BALL	 10013	2022-02-04	 4:00pm	   	W	  	BALL 	at	  	LOU  	 	   	 	 				4 pm	Louisville, KY				
 UTAH	 20757	2022-02-04	 4:00pm	MT 	W	  	IDST 	at	  	UTAH 	 	   	 	 				4:00 PM MT	Salt Lake City, UT				[Watch](https://utahutes.com/sports/2018/2/16/tennis-video-streaming.aspx) [Live Stats](http://statb.us/b/381304) [History](/sports/womens-tennis/opponent-history/idaho-state-university/149)
 NJIT	  8329	2022-02-04	 4:00pm	   	W	  	NJIT 	at	  	PENN 	 	   	 	 				4:00 PM	Philadelphia, PA				[History](/sports/womens-tennis/opponent-history/university-of-pennsylvania/62)
 PENN	 18223	2022-02-04	 4:00pm	   	W	  	NJIT 	at	  	PENN 	 	   	 	 				4 PM	Hamlin	Hecht Tennis Centers			
  NIU	 15465	2022-02-04	 5:00pm	CT 	W	  	W ILL	at	  	NIU  	 	   	 	 				5 p.m. CT	DeKalb, IL				[History](/sports/womens-tennis/opponent-history/western-illinois-university/178)
W ILL	 12774	2022-02-04	 5:00pm	   	W	  	W ILL	at	  	NIU  	 	   	 	 			[Northern Illinois Invitational](https://niuhuskies.com/index.aspx)	5 P.M.	DeKalb, IL				
  IND	 25681	2022-02-04	 5:00pm	   	W	  	YALE 	at	  	IND  	 	   	 	 				5:00 PM	Bloomington, IN				[History](/sports/womens-tennis/opponent-history/yale-university/262)
 YALE	 16206	2022-02-04	 5:00pm	   	W	  	YALE 	at	  	IND  	 	   	 	 				5:00 PM	Bloomington, IN				[History](/sports/womens-tennis/opponent-history/indiana-university/143)
   BC	 23867	2022-02-04	 6:00pm	   	W	  	BC   	at	  	DART 	 	   	 	 				6:00 PM	Hanover, NH				
 DART	 20036	2022-02-04	 6:00pm	   	W	  	BC   	at	  	DART 	 	   	 	 				6:00 PM	Hanover, NH	[Boss Tennis Center](/facilities/?id=17)			[History](/sports/womens-tennis/opponent-history/boston-college/26)
 MINN	 19400	2022-02-04	 6:00pm	   	W	  	N IA 	at	  	MINN 	 	   	 	 				6:00 PM		[Baseline Tennis Center](http://www.baselinetc.com/)			
  UTM	  4311	2022-02-04	 6:00pm	   	W	  	UTM  	at	  	LIP  	 	   	 	 				6:00 p.m.	Nashville, TN				
   VT	 24507	2022-02-04	 6:00pm	   	W	  	VT   	at	  	XAV  	 	   	 	 				6 PM	Cincinnati. Oh.				
  XAV	  9479	2022-02-04	 6:00pm	   	W	  	VT   	at	  	XAV  	 	   	 	 				6 PM	Cincinnati, OH	[Eastern Hills Indoor Tennis Club](http://ehitennis.com/)			[Watch](https://goxavier.com/sports/2020/1/29/tennis-live-streams.aspx) [History](/sports/womens-tennis/opponent-history/virginia-tech/29)
  NIA	  9593	2022-02-04	 7:00pm	   	W	  	IUP  	at	  	NIA  	 	   	 	 				7:00 p.m.	Niagara University, NY	[Village Glen Tennis Courts](http://wnytennis.com/village-glen)			[History](/sports/womens-tennis/opponent-history/indiana-university-of-pennsylvania/259)
 MTST	  6059	2022-02-04	 7:00pm	   	W	  	MTST 	at	  	GONZ 	 	   	 	 				7 p.m.	Spokane, WA				[History](/sports/womens-tennis/opponent-history/gonzaga-university/6)
 GONZ	  8172	2022-02-04	 7:00pm	   	W	  	MTST 	at	  	GONZ 	 	   	 	 				7 p.m.	Spokane, WA	[Stevens Center](/facilities/?id=3)			[Watch](https://gozags.com/sports/2019/1/15/live-tennis-video-and-stats.aspx) [History](/sports/womens-tennis/opponent-history/montana-state-university/92)
  CRE	 14646	2022-02-04	 7:00pm	   	W	  	OMAHA	at	  	CRE  	 	   	 	 				7:00 PM	Omaha, NE	[Hanscom Tennis Courts](/facilities/?id=5)			[History](/sports/womens-tennis/opponent-history/university-of-nebraska-at-omaha/34)
OMAHA	 17504	2022-02-04	 7:00pm	   	W	  	OMAHA	at	  	CRE  	 	   	 	 				7 P.M.	Omaha, NE				
EMICH	 13183	2022-02-04	 7:30pm	   	W	  	LTECH	at	  	EMICH	 	   	 	 				7:30 p.m.	Ypsilanti, MI	[The Chippewa Club](/facilities/?id=38)			[History](/sports/womens-tennis/opponent-history/lawrence-tech/284)
 PEPP	 11637	2022-02-05	12:00pm	PT 	W	 5	UCLA 	at	 2	PEPP 	 	   	 	 				12:00 p.m. PT	Malibu, CA				[Watch](https://pepperdinewaves.com/sports/2018/8/7/playsight.aspx) [Live Stats](https://pepperdinewaves.com/sports/2018/8/7/playsight.aspx) [Tickets](https://pepperdinewaves.com/sports/2018/6/15/tickets-pepp-tickets-html.aspx)
 UCLA	 30674	2022-02-05	 1:30pm	PT 	W	 5	UCLA 	at	 2	PEPP 	 	   	 	 				1:30 PM PT	Malibu, CA				
  UNC	 23250	2022-02-05	12:00pm	   	W	 3	UNC  	at	16	MICH 	 	   	 	 				Noon	Ann Arbor, MI				
 MICH	 20905	2022-02-05	12:00pm	   	W	 3	UNC  	at	16	MICH 	 	   	 	 				12:00 PM	Ann Arbor, MI				[Live Stats](https://mgoblue.com/tennis-women)
 DUKE	 20371	2022-02-05	11:00am	   	W	 6	DUKE 	at	  	FUR  	 	   	 	 				11 a.m.	Greenville, SC				
  FUR	  7708	2022-02-05	11:00am	   	W	 6	DUKE 	at	  	FUR  	 	   	 	 				11:00 AM	GREENVILLE				[Live Stats](https://stats.statbroadcast.com/statmonitr/?id=382034) [History](/sports/womens-tennis/opponent-history/duke-university/72)
 WAST	 14965	2022-02-05	    TBD	   	W	  	WAST 	at	11	BAY  	 	   	 	 					Waco, TX				[History](/sports/womens-tennis/opponent-history/baylor-university/177)
  BAY	 27497	2022-02-05	 1:00pm	   	W	  	WAST 	at	11	BAY  	 	   	 	 				1 PM	Waco, TX	[Hawkins Indoor Tennis Center](/facilities/?id=1099)			
  A&M	 18285	2022-02-05	   4:30	   	W	  	SHSU 	at	14	A&M  	 	   	 	 					Bryan-College Station	[Mitchell Tennis Center](/facilities/?id=13)			[Watch](https://12thman.com/livetennis) [Live Stats](http://statb.us/b/381940) [History](/sports/womens-tennis/opponent-history/sam-houston/86)
  A&M	 18284	2022-02-05	  12:00	   	W	  	SMU  	at	14	A&M  	 	   	 	 					Bryan-College Station	[Mitchell Tennis Center](/facilities/?id=13)			[Watch](https://12thman.com/livetennis) [Live Stats](http://statb.us/b/381939) [History](/sports/womens-tennis/opponent-history/southern-methodist-university/35)
  SMU	 12474	2022-02-05	12:00pm	   	W	  	SMU  	at	14	A&M  	 	   	 	 				12 P.M.	College Station, TX				
 SHSU	 13586	2022-02-05	 3:00pm	   	W	  	SHSU 	at	14	A&M  	 	   	 	 				3:00 PM	College Station				[History](/sports/womens-tennis/opponent-history/texas-am/122)
  FLA	 24689	2022-02-05	       	   	W	20	FLA  	vs	15	FSU  	 	   	N	 					Lake Nona, FL				
  USD	 12354	2022-02-05	12:00pm	   	W	18	USC  	at	  	USD  	 	   	 	 				12 PM	San Diego, CA				[Watch](https://web.track.tennis/events/feed?account=031d1592-fcac-4e49-a766-6ccdc5e62c67#/) [History](/sports/womens-tennis/opponent-history/university-of-southern-california/124)
  USC	 30887	2022-02-05	 1:00pm	PT 	W	18	USC  	at	  	USD  	 	   	 	 				1:00 PM PT	San Diego, CA				
 OKLA	 11927	2022-02-05	    TBD	   	W	  	NMSU 	at	19	OKLA 	 	   	 	 					Norman, OK				
  ODU	  9309	2022-02-05	12:00pm	   	W	  	ODU  	at	24	MIA  	 	   	 	 				12:00 PM	Coral Gables, FL				[History](/sports/womens-tennis/opponent-history/university-of-miami/42)
  DAY	 13665	2022-02-05	    TBD	   	W	  	BALL 	at	  	DAY  	 	   	 	 					Miamisburg, OH	[South Regency Tennis Center](https://www.southregencyonline.com/)			[History](/sports/womens-tennis/opponent-history/ball-state-university/86)
 BALL	 10014	2022-02-05	    TBA	   	W	  	BALL 	at	  	DAY  	 	   	 	 					Dayton, OH				
   BU	 24324	2022-02-05	       	   	W	  	BU   	at	  	HARV 	 	   	 	 					Cambridge, MA				
 CAMP	206334	2022-02-05	   3:00	   	W	  	CAMP 	at	  	WAKE 	 	   	 	 					Winston-Salem, NC				
